Input,Output
"[0.9267333161564295, 0.495764740033943, 0.08787926553064485, 0.6220428414993914, 0.38869142343340446]","[0.8834757714031829, 0.5417068597266893, 0.14930643054475043, 0.6565151872433165, 0.3713213146909027]"
"[0.8834757714031829, 0.5417068597266893, 0.14930643054475043, 0.6565151872433165, 0.3713213146909027]","[0.8324136240735545, 0.6061528284720281, 0.1496707185574206, 0.7378269606998713, 0.3823568561404689]"
"[0.8324136240735545, 0.6061528284720281, 0.1496707185574206, 0.7378269606998713, 0.3823568561404689]","[0.8190642440713926, 0.6005052894224661, 0.09680533756002896, 0.7490496638176528, 0.31510798724031086]"
"[0.8190642440713926, 0.6005052894224661, 0.09680533756002896, 0.7490496638176528, 0.31510798724031086]","[0.757657101709495, 0.5037473755517261, 0.029521908172670613, 0.7435851806500635, 0.2489479852945169]"
"[0.757657101709495, 0.5037473755517261, 0.029521908172670613, 0.7435851806500635, 0.2489479852945169]","[0.7615998709700817, 0.5982876899773857, -0.0222466798759903, 0.8416172887672956, 0.1756102196442859]"
"[0.7615998709700817, 0.5982876899773857, -0.0222466798759903, 0.8416172887672956, 0.1756102196442859]","[0.8361979035577828, 0.5463030001647978, 0.06667060475774478, 0.9104631064919586, 0.16433491332405245]"
"[0.8361979035577828, 0.5463030001647978, 0.06667060475774478, 0.9104631064919586, 0.16433491332405245]","[0.9147033026628519, 0.6040732882427633, 0.1417693561479106, 0.8317921869606413, 0.14244852611023967]"
"[0.9147033026628519, 0.6040732882427633, 0.1417693561479106, 0.8317921869606413, 0.14244852611023967]","[0.8462721182265236, 0.6624106288455115, 0.15571394683247525, 0.7812518018127963, 0.06619207466065165]"
"[0.8462721182265236, 0.6624106288455115, 0.15571394683247525, 0.7812518018127963, 0.06619207466065165]","[0.9365166254705504, 0.6948992704053742, 0.09541106422002797, 0.6865580914413528, 0.13858237449350608]"
"[0.9365166254705504, 0.6948992704053742, 0.09541106422002797, 0.6865580914413528, 0.13858237449350608]","[0.8493844732351805, 0.7837110072142537, 0.16694997582776067, 0.6628260793151272, 0.10138393649853579]"
"[0.8493844732351805, 0.7837110072142537, 0.16694997582776067, 0.6628260793151272, 0.10138393649853579]","[0.7697638193796149, 0.8508189124761014, 0.19651914188559624, 0.7568274038527179, 0.15417418987961384]"
"[0.7697638193796149, 0.8508189124761014, 0.19651914188559624, 0.7568274038527179, 0.15417418987961384]","[0.8506253474763318, 0.7855546731483998, 0.2934591287924717, 0.7558704152981062, 0.16566903664438182]"
"[0.8506253474763318, 0.7855546731483998, 0.2934591287924717, 0.7558704152981062, 0.16566903664438182]","[0.8494096521490981, 0.8304968968750086, 0.262017751405469, 0.7176113514411667, 0.18125880498277902]"
"[0.8494096521490981, 0.8304968968750086, 0.262017751405469, 0.7176113514411667, 0.18125880498277902]","[0.9249258593832687, 0.850409396276158, 0.2139354202081253, 0.7922460727161781, 0.2686305229213033]"
"[0.9249258593832687, 0.850409396276158, 0.2139354202081253, 0.7922460727161781, 0.2686305229213033]","[0.9202784982554979, 0.8987636959775354, 0.2869446133016728, 0.7638150979589763, 0.2855951721832477]"
"[0.9202784982554979, 0.8987636959775354, 0.2869446133016728, 0.7638150979589763, 0.2855951721832477]","[0.9745800854542631, 0.9061865186269534, 0.35594940552817, 0.7924723606531543, 0.2859511034221136]"
"[0.9745800854542631, 0.9061865186269534, 0.35594940552817, 0.7924723606531543, 0.2859511034221136]","[1.0160911803025776, 1.0060580106766366, 0.30815063678728705, 0.7864500472226182, 0.24821457094207916]"
"[1.0160911803025776, 1.0060580106766366, 0.30815063678728705, 0.7864500472226182, 0.24821457094207916]","[1.0594704968812465, 0.9844993299403535, 0.40446969072793026, 0.7697562793884996, 0.2736800936058403]"
"[1.0594704968812465, 0.9844993299403535, 0.40446969072793026, 0.7697562793884996, 0.2736800936058403]","[1.0760262259387725, 0.9119895918047247, 0.38773557013335824, 0.7108221812133978, 0.2980020692741904]"
"[1.0760262259387725, 0.9119895918047247, 0.38773557013335824, 0.7108221812133978, 0.2980020692741904]","[0.9971172135096107, 0.8757846345078268, 0.31379048693372474, 0.6151465512007636, 0.3362892268647534]"
"[0.9971172135096107, 0.8757846345078268, 0.31379048693372474, 0.6151465512007636, 0.3362892268647534]","[0.9114957059222413, 0.891421258585567, 0.29892004311479964, 0.7125484264378931, 0.41854994454168803]"
"[0.9114957059222413, 0.891421258585567, 0.29892004311479964, 0.7125484264378931, 0.41854994454168803]","[0.8653744743843369, 0.9872620950492684, 0.3450158637914356, 0.7449769435358761, 0.3392087064130012]"
"[0.8653744743843369, 0.9872620950492684, 0.3450158637914356, 0.7449769435358761, 0.3392087064130012]","[0.8056794794243888, 1.0590538385648491, 0.44015781548357, 0.7895060618965678, 0.23945261489828806]"
"[0.8056794794243888, 1.0590538385648491, 0.44015781548357, 0.7895060618965678, 0.23945261489828806]","[0.7430302763587521, 1.0577821709129884, 0.5256523670196326, 0.8323528320940008, 0.2291276700370316]"
"[0.7430302763587521, 1.0577821709129884, 0.5256523670196326, 0.8323528320940008, 0.2291276700370316]","[0.728617239944647, 1.1148505339815378, 0.5772671278762935, 0.7362083790866262, 0.13026240362129043]"
"[0.728617239944647, 1.1148505339815378, 0.5772671278762935, 0.7362083790866262, 0.13026240362129043]","[0.6665695278347975, 1.1727504463624046, 0.6613442872087979, 0.7273845602905976, 0.18274867804386064]"
"[0.6665695278347975, 1.1727504463624046, 0.6613442872087979, 0.7273845602905976, 0.18274867804386064]","[0.728172870748985, 1.2351569973025276, 0.6540097772479159, 0.6562144790067591, 0.22661505769241222]"
